Year,tariff_rate,tariff_rate_no_ieepa
1821,43.21,43.21
1822,35.23,35.23
1823,43.69,43.69
1824,47.39,47.39
1825,47.72,47.72
1826,45.28,45.28
1827,50.93,50.93
1828,44.74,44.74
1829,50.73,50.73
1830,57.32,57.32
1831,44.23,44.23
1832,38.97,38.97
1833,28.99,28.99
1834,21.83,21.83
1835,21.25,21.25
1836,19.51,19.51
1837,16.05,16.05
1838,23.11,23.11
1839,17.57,17.57
1840,17.6,17.6
1841,17.37,17.37
1842,18.96,18.96
1843,20.13,20.13
1844,30.5,30.5
1845,29.34,29.34
1846,27.7,27.7
1847,24.2,24.2
1848,23.49,23.49
1849,23.41,23.41
1850,24.5,24.5
1851,24.26,24.26
1852,24.35,24.35
1853,23.37,23.37
1854,23.52,23.52
1855,23.36,23.36
1856,21.68,21.68
1857,19.09,19.09
1858,17.33,17.33
1859,15.43,15.43
1860,15.67,15.67
1861,14.21,14.21
1862,26.08,26.08
1863,28.28,28.28
1864,32.04,32.04
1865,38.46,38.46
1866,41.81,41.81
1867,44.56,44.56
1868,46.56,46.56
1869,44.76,44.76
1870,44.89,44.89
1871,40.51,40.51
1872,37.99,37.99
1873,27.9,27.9
1874,28.29,28.29
1875,29.36,29.36
1876,31.25,31.25
1877,29.2,29.2
1878,29,29
1879,30.33,30.33
1880,29.12,29.12
1881,29.79,29.79
1882,30.16,30.16
1883,30.04,30.04
1884,28.5,28.5
1885,30.75,30.75
1886,30.35,30.35
1887,31.52,31.52
1888,30.55,30.55
1889,30.02,30.02
1890,29.59,29.59
1891,25.5,25.5
1892,21.5,21.5
1893,23.8,23.8
1894,20.5,20.5
1895,20.2,20.2
1896,20.5,20.5
1897,21.8,21.8
1898,24.6,24.6
1899,29.3,29.3
1900,27.5,27.5
1901,28.8,28.8
1902,27.8,27.8
1903,27.8,27.8
1904,26.2,26.2
1905,23.7,23.7
1906,24.2,24.2
1907,23.3,23.3
1908,23.9,23.9
1909,23,23
1910,21.1,21.1
1911,20.3,20.3
1912,18.6,18.6
1913,17.7,17.7
1914,14.9,14.9
1915,12.5,12.5
1916,9.6,9.6
1917,6.3,6.3
1918,5.7,5.7
1919,6.2,6.2
1920,6.4,6.4
1921,11.4,11.4
1922,14.7,14.7
1923,15.2,15.2
1924,14.9,14.9
1925,13.2,13.2
1926,13.4,13.4
1927,13.8,13.8
1928,13.3,13.3
1929,13.5,13.5
1930,15.8,15.8
1931,17.8,17.8
1932,19.6,19.6
1933,19.8,19.8
1934,18.4,18.4
1935,17.5,17.5
1936,16.8,16.8
1937,15.6,15.6
1938,15.5,15.5
1939,14.4,14.4
1940,12.5,12.5
1941,13.6,13.6
1942,11.6,11.6
1943,11.6,11.6
1944,9.9,9.9
1945,9.6,9.6
1946,10.3,10.3
1947,7.9,7.9
1948,5.9,5.9
1949,5.7,5.7
1950,6.1,6.1
1951,5.6,5.6
1952,5.3,5.3
1953,5.5,5.5
1954,5.4,5.4
1955,5.9,5.9
1956,5.9,5.9
1957,6,6
1958,6.5,6.5
1959,7.1,7.1
1960,7.2,7.2
1961,7.2,7.2
1962,7.6,7.6
1963,7.4,7.4
1964,7.4,7.4
1965,7.6,7.6
1966,7.6,7.6
1967,7.5,7.5
1968,7.1,7.1
1969,7.1,7.1
1970,6.5,6.5
1971,6.1,6.1
1972,5.7,5.7
1973,5,5
1974,3.8,3.8
1975,3.9,3.9
1976,3.9,3.9
1977,3.7,3.7
1978,4,4
1979,3.5,3.5
1980,3.1,3.1
1981,3.4,3.4
1982,3.6,3.6
1983,3.7,3.7
1984,3.7,3.7
1985,3.8,3.8
1986,3.6,3.6
1987,3.5,3.5
1988,3.4,3.4
1989,3.4,3.4
1990,3.3,3.3
1991,3.4,3.4
1992,3.3,3.3
1993,3.2,3.2
1994,3,3
1995,2.5,2.5
1996,2.3,2.3
1997,2.1,2.1
1998,2,2
1999,1.8,1.8
2000,1.6,1.6
2001,1.6,1.6
2002,1.7,1.7
2003,1.6,1.6
2004,1.5,1.5
2005,1.4,1.4
2006,1.4,1.4
2007,1.3,1.3
2008,1.2,1.2
2009,1.4,1.4
2010,1.4,1.4
2011,1.3,1.3
2012,1.3,1.3
2013,1.4,1.4
2014,1.4,1.4
2015,1.5,1.5
2016,1.5,1.5
2017,1.4,1.4
2018,1.8,1.8
2019,2.7,2.7
2020,2.8,2.8
2021,3,3
2022,2.8,2.8
2023,2.4,2.4
2024,2.48,2.48
2025,12.4,4.7
